zip,total_pop,black,pct_black
ZCTA5 03782,3105,7,0.002254428
ZCTA5 03784,4109,130,0.031637868
ZCTA5 03785,2358,11,0.00466497
ZCTA5 03801,22488,551,0.024501957
ZCTA5 03809,3524,0,0
ZCTA5 03810,1779,20,0.011242271
ZCTA5 03811,6952,0,0
ZCTA5 03812,596,4,0.006711409
ZCTA5 03813,2663,0,0
ZCTA5 03814,2315,64,0.027645788
ZCTA5 03816,1506,0,0
ZCTA5 03817,931,0,0
ZCTA5 03818,3845,1,0.000260078
ZCTA5 03819,4496,26,0.005782918
ZCTA5 03820,31629,406,0.012836321
ZCTA5 03823,1849,0,0
ZCTA5 03824,16481,128,0.007766519
ZCTA5 03825,9245,0,0
ZCTA5 03826,2250,0,0
ZCTA5 03827,3152,0,0
ZCTA5 03830,1932,0,0
ZCTA5 03832,299,0,0
ZCTA5 03833,22116,278,0.012570085
ZCTA5 03835,6930,0,0
ZCTA5 03836,1349,0,0
ZCTA5 03837,1410,0,0
ZCTA5 03838,1169,0,0
ZCTA5 03839,4048,1,0.000247036
ZCTA5 03840,3993,69,0.01728024
ZCTA5 03841,6559,51,0.007775576
ZCTA5 03842,15353,44,0.002865889
ZCTA5 03844,2371,7,0.002952341
ZCTA5 03845,1091,0,0
ZCTA5 03846,884,0,0
ZCTA5 03847,363,0,0
ZCTA5 03848,6260,0,0
ZCTA5 03849,1478,44,0.029769959
ZCTA5 03850,233,0,0
ZCTA5 03851,4080,1,0.000245098
ZCTA5 03852,543,0,0
ZCTA5 03853,474,0,0
ZCTA5 03854,835,0,0
ZCTA5 03855,2697,0,0
ZCTA5 03856,1757,17,0.009675583
ZCTA5 03857,9063,85,0.009378793
ZCTA5 03858,4920,0,0
ZCTA5 03860,4479,0,0
ZCTA5 03861,4485,2,0.000445931
ZCTA5 03862,4473,68,0.015202325
ZCTA5 03864,1853,59,0.031840259
ZCTA5 03865,7689,27,0.00351151
ZCTA5 03867,21591,113,0.005233662
ZCTA5 03868,5316,98,0.018434913
ZCTA5 03869,2522,68,0.026962728
ZCTA5 03870,5293,0,0
ZCTA5 03871,173,0,0
ZCTA5 03872,3621,0,0
ZCTA5 03873,6220,28,0.004501608
ZCTA5 03874,8925,111,0.012436975
ZCTA5 03875,1099,14,0.012738854
ZCTA5 03878,11970,386,0.032247285
ZCTA5 03882,1630,0,0
ZCTA5 03883,334,0,0
ZCTA5 03884,3958,51,0.012885296
ZCTA5 03885,7386,2,0.000270783
ZCTA5 03886,1680,0,0
ZCTA5 03887,2076,30,0.014450867
ZCTA5 03890,166,0,0
ZCTA5 03894,6320,0,0
ZCTA5 03901,7683,0,0
ZCTA5 03902,2419,0,0
ZCTA5 03903,6589,39,0.005918956
ZCTA5 03904,7996,123,0.015382691
ZCTA5 03905,1735,0,0
ZCTA5 03906,4713,52,0.011033312
ZCTA5 03907,1062,0,0
ZCTA5 03908,7470,103,0.013788487
ZCTA5 03909,10240,43,0.004199219
ZCTA5 03910,320,0,0
ZCTA5 03911,59,0,0
ZCTA5 04001,2580,0,0
ZCTA5 04002,7558,20,0.002646203
ZCTA5 04003,329,0,0
ZCTA5 04005,23486,677,0.028825683
ZCTA5 04006,162,0,0
ZCTA5 04008,2795,56,0.020035778
ZCTA5 04009,5304,9,0.001696833
ZCTA5 04010,1401,0,0
ZCTA5 04011,20517,400,0.019496028
ZCTA5 04015,3895,8,0.002053915
ZCTA5 04017,449,0,0
ZCTA5 04019,23,0,0
ZCTA5 04020,1369,8,0.005843682
ZCTA5 04021,6422,49,0.007630022
ZCTA5 04022,1282,0,0
ZCTA5 04024,639,4,0.006259781
ZCTA5 04027,6270,0,0
ZCTA5 04029,1600,3,0.001875
ZCTA5 04030,2163,0,0
ZCTA5 04032,8439,43,0.00509539
ZCTA5 04037,3869,18,0.004652365
ZCTA5 04038,17582,127,0.007223297
ZCTA5 04039,7625,42,0.005508197
ZCTA5 04040,3234,9,0.002782931
ZCTA5 04041,1734,0,0
ZCTA5 04042,4607,12,0.002604732
ZCTA5 04043,11424,10,0.00087535
ZCTA5 04046,7873,9,0.001143147
ZCTA5 04047,1920,23,0.011979167
ZCTA5 04048,3030,61,0.020132013
ZCTA5 04049,3744,0,0
ZCTA5 04050,314,0,0
ZCTA5 04051,1013,0,0
ZCTA5 04055,3901,2,0.000512689
ZCTA5 04056,355,0,0
ZCTA5 04057,78,0,0
ZCTA5 04061,3498,35,0.010005718
ZCTA5 04062,18478,248,0.013421366
ZCTA5 04063,468,0,0
ZCTA5 04064,8394,27,0.003216583
ZCTA5 04066,616,0,0
ZCTA5 04068,1440,0,0
ZCTA5 04069,1635,0,0
ZCTA5 04071,5096,10,0.001962323
ZCTA5 04072,19497,159,0.008155101
ZCTA5 04073,16452,196,0.011913445
ZCTA5 04074,19885,57,0.002866482
ZCTA5 04076,2739,10,0.003650968
ZCTA5 04079,3953,0,0
ZCTA5 04083,4605,9,0.001954397
ZCTA5 04084,7403,58,0.007834662
ZCTA5 04085,2675,0,0
ZCTA5 04086,8810,61,0.00692395
ZCTA5 04087,2185,14,0.006407323
ZCTA5 04088,1454,8,0.005502063
ZCTA5 04090,10366,118,0.011383369
ZCTA5 04091,867,0,0
ZCTA5 04092,18633,973,0.052219181
ZCTA5 04093,8243,30,0.003639452
ZCTA5 04095,1042,0,0
ZCTA5 04096,8529,63,0.007386563
ZCTA5 04097,3779,28,0.007409368
ZCTA5 04101,17236,2364,0.137154792
ZCTA5 04102,17612,948,0.053826936
ZCTA5 04103,30787,2314,0.075161594
ZCTA5 04105,11876,0,0
ZCTA5 04106,25906,1100,0.042461206
ZCTA5 04107,9178,0,0
ZCTA5 04108,867,0,0
ZCTA5 04109,70,0,0
ZCTA5 04110,1576,0,0
ZCTA5 04210,23187,310,0.013369561
ZCTA5 04216,475,0,0
ZCTA5 04217,3321,4,0.001204456
ZCTA5 04219,1416,0,0
ZCTA5 04220,3309,78,0.023572076
ZCTA5 04221,884,0,0
ZCTA5 04222,3944,4,0.001014199
ZCTA5 04224,2380,13,0.005462185
ZCTA5 04226,182,0,0
ZCTA5 04227,112,0,0
ZCTA5 04228,0,0,#DIV/0!
ZCTA5 04231,272,0,0
ZCTA5 04234,40,0,0
ZCTA5 04236,4342,3,0.000690926
ZCTA5 04237,174,0,0
ZCTA5 04238,1784,10,0.005605381
ZCTA5 04239,4638,0,0
ZCTA5 04240,36095,2126,0.058900125
ZCTA5 04250,4148,5,0.0012054
ZCTA5 04252,4758,1,0.000210172
ZCTA5 04253,2066,6,0.002904163
ZCTA5 04254,3156,4,0.001267427
ZCTA5 04255,536,6,0.01119403
ZCTA5 04256,2980,36,0.012080537
ZCTA5 04257,2628,0,0
ZCTA5 04258,2587,8,0.003092385
ZCTA5 04259,3288,20,0.006082725
ZCTA5 04260,5738,4,0.000697107
ZCTA5 04261,343,0,0
ZCTA5 04263,2215,3,0.001354402
ZCTA5 04265,958,0,0
ZCTA5 04267,64,0,0
ZCTA5 04268,4965,18,0.003625378
ZCTA5 04270,6350,2,0.000314961
ZCTA5 04271,0,0,#DIV/0!
ZCTA5 04274,5588,0,0
ZCTA5 04275,437,0,0
ZCTA5 04276,5719,50,0.008742787
ZCTA5 04280,6752,37,0.005479858
ZCTA5 04281,5111,0,0
ZCTA5 04282,5784,19,0.003284924
