age,gender,ethnicity,hispanic,region,education
69,2,1,1,3,2
71,2,1,1,3,2
47,1,1,1,1,2
59,1,1,1,1,2
73,2,2,1,3,4
65,1,1,1,3,6
27,2,1,1,2,6
31,2,2,1,2,6
71,2,1,1,1,2
33,1,2,1,3,2
59,2,1,1,2,6
39,2,15,2,1,4
41,1,2,1,3,6
51,2,1,1,3,2
70,2,1,1,1,2
61,2,2,1,3,1
48,2,1,1,2,6
40,2,2,1,1,4
30,1,1,1,2,6
43,2,15,12,1,1
25,1,2,1,4,2
41,1,1,1,2,7
40,1,15,2,1,6
48,1,2,1,1,4
48,2,1,1,2,7
26,1,2,1,3,2
28,1,4,1,4,4
60,2,1,1,3,1
31,1,2,1,3,6
28,2,1,1,3,4
31,2,1,1,4,4
38,1,15,15,1,4
35,1,1,1,3,4
20,2,2,1,3,2
76,2,1,1,3,2
74,2,1,1,4,7
45,1,1,1,1,6
42,1,1,1,1,7
52,2,1,1,1,2
34,2,1,1,3,6
36,1,1,1,2,6
24,2,1,1,3,2
40,2,1,1,1,6
71,2,1,1,2,2
53,1,1,1,2,2
39,1,1,1,1,6
63,2,3,1,4,5
66,2,1,1,3,4
37,1,1,1,2,4
37,2,4,1,1,3
54,2,1,1,4,3
31,1,2,1,3,2
23,2,4,1,1,7
41,1,4,1,3,4
64,2,1,1,3,4
50,2,1,1,2,6
39,2,2,1,2,4
29,2,1,1,2,2
63,1,15,1,4,4
24,1,2,1,3,5
34,1,1,1,1,5
20,2,1,1,2,2
23,1,1,1,2,2
59,2,1,1,3,2
34,1,2,1,3,2
59,1,2,1,3,2
57,2,1,1,3,2
40,2,1,1,4,6
34,2,15,2,1,2
61,2,1,1,2,8
40,1,1,1,4,7
31,1,1,1,3,2
44,2,1,1,3,4
68,2,1,1,3,4
71,1,1,1,4,7
58,2,1,1,4,2
41,2,15,1,3,2
21,1,15,2,3,7
75,2,1,1,1,6
40,1,3,1,3,6
69,2,1,1,2,6
34,2,15,2,4,6
66,1,1,1,2,3
50,1,2,1,1,6
41,1,1,1,1,7
24,2,1,1,4,6
27,2,1,1,1,2
49,1,2,1,3,2
69,1,1,1,1,4
35,1,1,1,1,4
44,1,1,1,4,6
67,1,2,1,2,5
28,1,16,1,3,6
51,1,1,14,2,5
38,1,2,1,3,4
43,1,1,1,1,6
66,2,1,1,3,2
